NU_ANO_CENSO,QT_MAT,QT_ING,QT_CONC,EVASAO_PUBLICA_TOTAL,RETENCAO_PUBLICA_TOTAL,SUCESSO_PUBLICA_TOTAL,EVASAO_PRIVADA_TOTAL,RETENCAO_PRIVADA_TOTAL,SUCESSO_PRIVADA_TOTAL,EVASAO_NAO INFORMADA_TOTAL,RETENCAO_NAO INFORMADA_TOTAL,SUCESSO_NAO INFORMADA_TOTAL,CENTRO,EVASAO_ETNICO_TOTAL,RETENCAO_ETNICO_TOTAL,SUCESSO_ETNICO_TOTAL,EVASAO_REDE PUBLICA_TOTAL,RETENCAO_REDE PUBLICA_TOTAL,SUCESSO_REDE PUBLICA_TOTAL,EVASAO_SOCIAL_TOTAL,RETENCAO_SOCIAL_TOTAL,SUCESSO_SOCIAL_TOTAL,EVASAO_AMPLA_TOTAL,RETENCAO_AMPLA_TOTAL,SUCESSO_AMPLA_TOTAL,EVASAO_BRANCA_TOTAL,RETENCAO_BRANCA_TOTAL,SUCESSO_BRANCA_TOTAL,EVASAO_PRETA_TOTAL,RETENCAO_PRETA_TOTAL,SUCESSO_PRETA_TOTAL,EVASAO_PARDA_TOTAL,RETENCAO_PARDA_TOTAL,SUCESSO_PARDA_TOTAL,EVASAO_MASCULINO_TOTAL,RETENCAO_MASCULINO_TOTAL,SUCESSO_MASCULINO_TOTAL,EVASAO_FEMININO_TOTAL,RETENCAO_FEMININO_TOTAL,SUCESSO_FEMININO_TOTAL,EVASAO,RETENCAO,SUCESSO
2019,3709.0,1096.0,285.0,11.169510572167995,49.782697811442155,10.3917078027272,9.040203566401406,38.914018066610794,13.909474343552532,0.330103316858057,0.12695799178737271,6.403131418157066,CCMN,5.833737614610725,28.962231111643366,2.9363055121899357,9.458579192233204,45.321142421966,7.934134318104563,4.708677524786086,26.190353299711106,2.4572911243066646,10.587048836507918,34.11246777214708,22.770179246332237,5.656055945207266,22.875445211899844,17.20392655083457,1.6133664106952568,8.205757317015758,3.2352097420400923,6.695312856463173,22.98351117520235,7.524805374212256,13.321980394687394,50.80631471916227,18.591234827504085,6.72364763405373,24.912871972083483,12.113078736932716,20.010578150067627,60.11704327174269,30.704313564436795
2020,3708.0,1086.0,339.0,12.792112424297223,41.4385607851402,16.002816465806326,9.567793328863312,37.165180528180485,17.579714526842743,0.6079709582044004,,3.0597220515148367,CCMN,7.322452612697331,27.184243053846796,5.133046269420015,11.399393758317135,39.886169265150585,11.594563996780908,5.296669556660087,24.569308143966985,3.4626540491512063,11.535041744849313,34.430336649335125,25.047689047382995,5.583802572386001,22.654095994399164,22.80946027467471,1.5262609725284695,9.073382167583942,2.8825324199682223,7.40345507172825,23.261983194689208,9.08308993347143,16.229799562704482,49.266705818860665,21.81511000434434,6.704635940461963,22.247833107014714,14.827143039819562,22.934435503166448,56.09457378777127,36.6422530441639
2021,3755.0,1071.0,204.0,11.156887486488124,50.16115877891623,8.921729406499928,8.472875022148934,39.586326224810875,10.78527681901111,0.21131341255042485,0.37923603198552625,1.1491823030232575,CCMN,5.903783442197671,29.40848795712134,2.928398502809923,10.080359952795362,45.33994475885148,6.978776412638003,5.5676483281611215,24.566274919602158,2.9260913376759166,9.675327875522695,43.81524244518361,13.877412115896293,6.2761260813996635,30.939388950132685,12.001122996779403,1.986731749850423,8.511781243461444,1.480043629093581,6.4432831100520245,29.713409553887264,6.153668334974517,12.944384865709848,56.66919351626667,14.904961404569686,6.8426014374939275,30.765292542643742,5.951227123964609,19.755687828318056,75.74107318982541,20.856188528534297
2022,3846.0,1016.0,211.0,11.591297294512222,49.09448399577992,9.091895263154907,8.341048305035628,42.83354548261212,10.90045257659569,0.19771641848963126,0.2454941065139683,1.2657237930204979,CCMN,5.4443629561601705,28.850833659125666,3.8875636647487135,9.637170036045903,45.87572354775122,6.927250234216143,4.473523766389609,25.32540270531533,2.8618203432268436,10.277960009106025,44.796936450550675,14.330821398554953,7.325214928375609,30.126960658543464,12.069789224810473,2.2355458916921247,11.075796233174781,1.8239154981179506,6.053150257820965,27.427873742566963,6.478695965543627,12.27902481617682,57.3988282681406,13.571045424623948,7.636105228975108,30.80801006175298,7.687026208147147,19.91513004515193,73.90873424396734,21.258071632771095
2009,5212.0,1263.0,549.0,,,,,,,,,,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,5364.0,1162.0,557.0,,,,,,,,,,CT,,,,,,,,,,9.667936184712927,,,5.458373322424183,,,0.18857341360802807,,,1.1751675434652038,,,6.948006755463839,,,2.719929429249087,,,9.667936184712927,,
2011,5479.0,1163.0,567.0,0.3172350774021399,,,,,,9.971775298460166,,,CT,,,,0.3172350774021399,,,0.3172350774021399,,,9.971775298460166,,,2.135997179971826,,,0.2906635249532689,,,0.7330461873766427,,,7.303854756610126,,,2.9851556192521804,,,10.289010375862306,,
2012,5595.0,1066.0,678.0,1.4492506863970256,,,,,,6.553275850643271,,,CT,,,,1.2069088309740055,,,3.7808885285788225,,,6.530241655619204,,,2.393994530840151,,,0.2009036399663945,,,0.5426869080360813,,,5.55841501575971,,,2.3256112118016072,,,7.73715048659321,,
2013,6207.0,1368.0,520.0,12.474945699537457,,,1.5867489322603123,,,,,,CT,0.348861648584876,,,1.1441974861439483,,,0.30830578518339113,,,3.252617872201649,,,1.3171418925290779,,,0.17220441243165677,,,0.48107000786892223,,,3.570735523253552,,,0.959994074705647,,,4.191050339911037,,
2014,6437.0,1311.0,807.0,3.3526405572525966,,0.1755755327041966,0.047463332669354985,,0.561000081391416,12.267517902155955,,64.61477283231716,CT,1.1862328137217855,,,2.475424683704247,,,0.8412557241148699,,,7.259976434703627,29.108386641859425,65.26115494950918,2.8393055544442403,10.68703423422294,47.70924887453456,0.4346535051533074,0.39201525482692823,1.5584139559183627,0.7579213188619749,2.788871029569599,8.229697411449996,7.079890412147717,20.000823480414528,48.13753055607603,2.6179989127796297,13.218656498937698,18.856326809282436,9.697889324927345,29.108386641859425,65.26115494950918
2015,6301.0,1254.0,876.0,4.4154272306001205,,4.101521346643122,4.652681066449236,,6.033152943028169,1.289557778345249,38.47454428109451,57.81504538183066,CT,1.694898175852879,,0.1920018227827483,3.700822925361541,,3.228866972160005,1.5199708260324043,,0.2079836133353733,6.344101854659058,36.04897824008719,59.953619613978624,1.1686197473748132,10.815767464869392,47.71500413702877,0.3082655459162412,1.4966217773087471,1.5955354229085499,1.4663561895442663,2.029884653853887,9.335628991672177,7.364115389876552,27.59328606464494,47.43690871595042,2.6976768754646523,11.210321105006395,27.805908906936757,10.025986876339845,34.72751393278569,60.6186779518316
2016,6035.0,1205.0,884.0,5.787138585800864,11.425283043726225,8.753115274804639,4.616433231928095,,13.352162621912647,2.9322671013093538,24.960366509947434,57.103849302637116,CT,3.3168402337039367,,1.0703000598493124,5.195291436790012,12.505154431541127,6.570879902240871,2.4647317593097204,17.05251659675432,0.625819913309557,7.889982206616714,19.920317574805186,64.14678846596954,3.4725081236610196,10.587545113163044,49.756935621604626,0.6310013817576555,0.38041708692273984,1.6179429926048918,2.4741067430415984,2.7013185528856614,8.352495301035455,9.826042530662031,23.367010422626556,50.487537480182304,3.1662412155034763,9.439525337814421,27.213205808136987,12.992283746165509,30.400894179421687,66.01863914556893
2017,6194.0,1257.0,748.0,2.600818572194936,72.68205265855629,15.533255153516158,3.3085088808379157,,20.23375857420969,0.23792567228851796,,40.36345986993241,CT,1.423013776910591,,1.9340074467827046,2.4368120069071604,19.74465494865443,10.370518551052589,1.3951240860325478,,2.2512795488601567,2.9211643168808816,11.020515627089726,65.75995504660568,1.2708276840905408,9.973848601807124,47.51731106614321,0.38943690073501186,0.8350761849155709,1.9642126266661322,1.099014174740729,6.571442927700939,11.349117677330305,3.4828951595433364,20.011146519916274,51.478635259649515,1.8161536686273259,7.885593265932976,24.651838338008755,5.279724164028433,25.658283494946815,72.13364783114
2018,6156.0,1379.0,770.0,6.241789014388577,25.423414857059697,18.250331146954757,4.878006509353917,40.378349597457714,22.738873073853455,1.063584863443774,,17.02385226355615,CT,3.8819224933005043,13.433905600327629,3.7892239574337436,5.962445871982251,18.10900980647072,12.558588408419634,3.2409738201436857,11.357729422996446,3.1246522069406804,6.136375111903303,25.112341773745246,45.45446807594474,3.3611071667667467,6.769811988967842,36.59755283281252,0.9849321943319627,1.6071182687254224,1.9601162245341894,3.822843955522698,7.344325269683221,9.497704180862952,8.462595951638267,28.90925581062465,39.63014404897812,3.4053783635379404,13.658147498244741,18.38291243538625,11.846670296173022,38.710836190294565,56.965871528510675
2019,6068.0,1365.0,721.0,6.329186705967224,30.982669098826044,21.910531094077196,5.701351345969015,20.38275261329097,28.3739418979095,0.548365423427674,,8.425639808905315,CT,3.7160333731001765,20.874010333210457,5.778140699956344,5.706121575164929,30.29609464555669,16.473102762645595,2.9015140341324335,18.037225097253373,5.496266394905339,6.66597260759932,14.194450250187744,42.23701003824642,3.0594241791133796,6.495580590419199,38.788325648576,0.7405035850094264,4.184613415401451,1.7100667250588926,3.9189554816065946,18.290205816661572,10.79277133161771,9.272216550792997,29.854066571454343,40.908979324326815,3.140178464955011,12.586356999506487,17.801133476565195,12.372094182764249,38.093545197924634,57.760164594846245
2020,6016.0,1308.0,680.0,7.2628794066136715,33.0557203704018,20.89543039118498,5.016553261403462,19.93138022707866,30.195458744185448,0.12650468919489877,,5.398478884796984,CT,4.563523510970242,21.169476344925954,8.071299718904223,7.083157201251266,32.949009144283416,17.302302474741314,3.9238721383008883,20.07363764143718,6.6963230389516015,4.649762234639099,12.183428941153306,39.187065545426094,1.044450615582313,11.114093297925317,34.62496977889641,0.92494313010218,1.7971395540439508,1.7724886465543153,4.271275835970568,14.31667476387185,13.139553907959257,8.382691278004986,29.35333342471524,39.606277429765925,3.3502281578853803,12.482047583860956,16.883090590401483,11.732919435890366,36.398097759647,56.48936802016741
2021,6056.0,1262.0,442.0,5.7709361147541385,34.10950057137524,17.727602682980006,3.8285512390974246,29.622267169982177,19.62881445757617,0.5919038802933557,0.24922914594315862,1.4208695966765448,CT,3.2096668772721766,22.08980160966342,6.699012040217218,5.438107182946432,34.0734715574202,15.35791116177027,3.0064897600456892,19.975117045881337,5.896405831412393,4.7386562568395165,28.79379253685871,23.419375575462453,2.466742238547607,15.878521458807764,24.099677201287157,0.8300627671798734,7.187796139380985,1.0087308356596156,2.8708702268047435,18.34388346830332,9.889191913605366,7.330555937228582,47.49151074489463,25.30243751690094,2.7471322053314746,14.88863409771008,13.474849220331782,10.077688142560056,59.80237778804551,38.77728673723272
2022,6192.0,1319.0,510.0,7.472381356560691,33.78199826137261,18.662133624260246,5.3487897275348795,27.628957598149213,23.405550669797492,0.35441249921613077,,1.3838907325511218,CT,3.898462453212021,22.545398364566175,7.927349763491854,6.665205533573797,32.838221312942984,16.89175236575368,3.188903633264084,18.527696017648424,7.6283615690904565,6.274650063187853,26.690068921079348,26.55982266085518,4.613901334859477,13.582492746509255,25.80652416963888,1.584919396586652,5.697388127002101,2.329125097961629,3.6751797868787075,20.60703767781446,11.293545134426925,9.260350917514227,38.395113605289424,30.48883777531359,3.6795046792474224,19.428618114997604,12.962737251295264,12.93985559676165,52.12848009322701,43.45157502660886
2009,5193.0,1205.0,660.0,,,,,,,,,,CCJE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,5662.0,1601.0,693.0,,,,,,,,,,CCJE,,,,,,,,,,9.10309583978572,,,3.215137193456562,,,0.08373904781216501,,,0.7268815587875931,,,5.175521280797082,,,3.9275745589886366,,,9.10309583978572,,
2011,5914.0,1530.0,703.0,0.3725705483217381,,,,,,11.712818941139695,,,CCJE,,,,0.3725705483217381,,,0.3725705483217381,,,11.712818941139695,,,2.735007243420872,,,0.23064552628585083,,,0.6372112688636428,,,7.7558611100021055,,,4.36334643830275,,,12.085389489461432,,
2012,6232.0,1543.0,771.0,3.5210094355114925,,,,,,6.5983295859626665,,,CCJE,,,,1.6156856155385597,,,5.392465335440305,,,8.5036534059356,,,1.6451808858168133,,,0.29120851213506666,,,0.6286693467816556,,,6.1010447102835625,,,4.018294311190596,,,10.11933902147416,,
2013,6739.0,1708.0,733.0,16.285598461134892,,,1.859362423148738,,,,,10.56352529483034,CCJE,0.46097852958786045,,,1.9091027277454367,,,0.4445199572780001,,,5.953937398840171,10.570931709108159,10.56352529483034,0.7796981236644754,4.137242828539045,6.551712681145833,0.1679266287629538,0.47255070893738466,0.13016075995615636,0.3282666448606651,0.8794014715880694,0.9877281239981239,4.523945764386886,6.053210533782886,6.086708485716018,3.339094362198722,6.310866898376483,4.476816809114322,7.8630401265856085,10.570931709108159,10.56352529483034
2014,7079.0,1657.0,956.0,4.192664940109261,,2.78734275069616,,,2.3474086788168207,12.285569775950675,23.495955157349695,59.82821231783868,CCJE,1.87796072535576,,,3.190039682024636,,2.227154261851225,0.9963486744927599,,,6.509857914796946,30.731367730430623,60.88698095846877,1.5151433042736708,6.266243037730808,35.58665726725012,0.37666921540877724,1.235519875877401,1.7900281315589657,0.4348007934405348,2.063077048060113,8.632268237649582,5.899016607033782,21.68736825614033,28.518770606014716,3.800880989787799,13.76257743057477,36.62006543968417,9.69989759682158,29.8017600783165,61.3239307927374
2015,7068.0,1618.0,981.0,4.117605322433209,5.028795398405268,7.105791646269579,5.019582614900236,,3.970890056940687,1.582119038078849,35.68039292775797,52.61308955751729,CCJE,1.6589682744545569,,0.48854113205110045,3.412035358464809,5.951149661722009,5.702005460109753,1.9346904177212778,7.643772645222423,0.3281719604590187,7.289468559126561,27.97665895889828,57.9877658006178,0.6534732952503,4.421434381579132,34.847218991327566,0.40359644234687947,0.8137606307887623,2.2988786865957005,1.0412464374986736,2.042050870581203,8.32851901522701,6.623025880146359,19.81138842695605,29.6626146304928,4.2743116734751725,15.08510253892069,34.02715663023476,10.701503917591372,27.155939522055935,63.68977126072756
2016,6877.0,1524.0,998.0,5.659226664904736,28.985842849577114,14.301264996725207,4.084363034108182,,15.456247248268118,2.267397009931329,23.232033948134035,36.110720927185106,CCJE,2.8391922737627016,,0.9398282014286792,5.369642358730376,12.588673287235787,10.731049832525033,2.726755702661774,11.943732231542242,1.0605562600093321,6.64134435021387,19.160082170616207,55.137183339653404,1.7802811861736358,6.284370628435329,37.46697840658141,0.5255972071889602,1.9887909230024936,2.6271620675514944,2.3814788363214925,2.981390258453848,9.634496076915122,7.224326808259379,21.45491710327884,28.9218008386005,4.786659900684867,11.277480025415574,36.94643233357793,12.010986708944246,28.4598853032054,65.86823317217844
2017,7344.0,1613.0,1031.0,1.602864521978699,49.67221480195664,20.292380029674796,2.6366029621412244,14.674733933880537,27.354737509593672,,,16.031073345952674,CCJE,0.8370094707799448,5.699939851234821,2.6067770751426713,1.3358730073680225,15.279626856523159,14.0434975785541,0.5663802820384806,4.90458366122615,2.9851666833176584,1.8022226648606188,19.279810507960946,49.63469330666704,0.3855745104437859,5.004684335209896,36.55910346545759,0.18201142054520042,1.3119490829888303,4.445246056315546,0.34552336148729024,3.791829494467637,12.35391823373339,1.6471192022281393,16.580209043156643,29.35008098774497,1.4398762724587983,18.804416051674863,34.32810989747616,3.0529286763258026,30.941177431531283,63.67819088522114
2018,7397.0,1657.0,1061.0,4.469470078464938,21.318577370100382,24.65116847317735,4.345062834907491,26.280811968012227,29.922110127533244,0.5086517586845842,,8.051533764729127,CCJE,2.212397417145404,12.951544228772807,8.139461685329392,4.081314486596687,16.636433224843696,19.295635697192083,1.949153746081578,11.939812912345403,7.08418807530738,4.944842873675746,19.60092061385887,43.329176668247634,2.446437113734105,3.3064366303408943,34.11841100891208,0.46451249674903944,2.3325150252275755,4.543834678487494,2.708951989140076,4.369050377343861,14.796247794741705,5.675251439515959,21.239792270934228,30.696154306223832,3.333524356801975,14.7037866601922,31.928658059215884,9.008775796317934,29.98870981462087,62.62481236543972
2019,7355.0,1583.0,908.0,4.408601354945481,27.30444601909518,24.653757809883277,4.2075614213689425,20.332184895538393,28.59645271499624,0.4228990852703482,,4.125066626475756,CCJE,2.260464532574799,16.386923272784873,10.576820678977068,3.942563155552932,26.513063316354383,22.031475487183798,1.8305822727718268,16.01402013021119,9.01617504041937,4.978839344572311,15.57433749784922,35.34380166417147,1.9632447866320835,6.884002621517676,31.29845979899989,0.5856700013865201,2.2374135963543957,5.663664495837199,2.4171971292128345,11.444054654994806,13.764905448393522,5.765437642142631,25.931544723503198,24.774505665671526,3.155964857982612,15.915454072688414,32.600771485683744,8.827583750924834,36.38873134545112,57.37527715135527
2020,7356.0,1568.0,924.0,5.406695960014817,24.42444688042121,25.99438206812913,4.634576104489291,18.42703179621121,31.12777587706579,0.32509839659885553,,2.053636223606905,CCJE,3.174392272024546,14.160958915080464,12.225272584681793,5.269446109787112,24.87352054327614,22.719922359654433,2.6172101813853454,14.693477862449452,9.584714232395205,4.92354649547611,15.25732133147505,36.455871809147396,1.143698394209408,10.744846366860477,32.105929901870766,0.261755074697926,3.2112810599957715,4.7177098458256035,3.235756922856148,8.26002675876103,15.999960800059013,6.078940058756073,22.64178724780054,30.24771901246864,4.114052546507149,17.267742193239073,28.928075156333186,10.192992605263223,35.428491487383816,59.17579416880183
2021,7527.0,1568.0,856.0,3.9787304368107543,25.027309484346183,26.351680564382903,3.1803560663466897,17.398755181425848,31.33648652284447,0.15166566894981448,,0.7185749350258156,CCJE,2.2316199956804863,15.799108063791648,11.814292405611052,3.778700461065396,24.038351751849035,24.703404212221223,1.736979865656484,14.033536746181626,10.961392892770059,3.4859647259795525,17.989906560418607,33.70333781003197,1.8337773984484191,10.987522186081003,32.211966290286576,0.4421561209138976,5.561431872108803,4.804000944457646,2.600184900561543,13.666002475229988,15.193777435368911,4.636472103426592,28.568698088544952,27.404632956815913,2.6281930836183562,13.277587955427995,31.00210906543727,7.264665187044949,39.16283098286154,58.406742022253184
2022,7687.0,1584.0,1007.0,4.53440270244765,20.421885513179777,29.43943839388683,3.8536703631623856,16.68664549575592,32.62692294178377,0.05763130287130649,,0.6610606643535141,CCJE,2.1295929975084333,13.50648855046894,14.403872982005884,3.9598969784847347,19.183586306754645,27.824483321148925,2.3319221660401253,10.82905546429119,13.206780689885012,4.470072341750144,17.114618948483233,34.902938678875195,2.895829487558939,8.119126798877687,30.593452194944348,0.8159457672896069,3.313210316845091,6.687608860323117,2.5281429039356924,12.741057715859236,16.48311050294596,3.9779070156020655,22.15837243943884,31.713981304319056,4.452062304632812,13.754311342743216,31.013440695705054,8.429969320234878,31.488822101538755,62.72742200002411
2009,2539.0,719.0,306.0,,,,,,,,,,CFCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,3047.0,811.0,348.0,,,,,,,,,,CFCH,,,,,,,,,,18.155453712956042,,,6.578760923499333,,,1.6820599375488445,,,2.938652023156844,,,4.800012722164814,,,13.43528581037824,,,18.155453712956042,,
2011,3113.0,852.0,476.0,0.8006596288447618,,,,,,15.634363374401882,,,CFCH,,,,0.8006596288447618,,,0.8006596288447618,,,15.634363374401882,,,6.061776080715202,,,0.5464514955073334,,,1.8868769932644183,,,6.5141757787700945,,,10.145710700223418,,,16.435023003246645,,
2012,3043.0,814.0,408.0,4.089240393418292,,,,,,12.38009258626236,,,CFCH,,,,2.071875304123891,,,4.08422189253167,,,14.211977170162708,,,3.941070946265036,,,1.0938155247638428,,,2.302702507006283,,,6.767485901757118,,,9.51636657252948,,,16.283852474286597,,
2013,3742.0,954.0,521.0,12.873502766202115,,,2.89017382022006,,3.602135253560734,0.14965259219668625,,30.248183303868768,CFCH,0.8589722205277069,,,1.9237486646082156,,,0.5233868059008506,,,5.324235229256189,6.9645568589670175,30.578460544888927,1.0847917127419722,5.937367238142224,25.339206024342445,0.341529869804843,0.07194836163302226,1.2031561640442698,0.9161887648474991,6.633629383099085,3.4750285704353567,2.9970603843487686,11.278126127252179,9.962135398961603,3.8483293496352378,7.103219010078644,24.599456639454978,6.775083147045967,6.9645568589670175,30.578460544888927
2014,3717.0,937.0,682.0,5.268488886695981,,1.4658695195673743,0.6669440790606704,,15.053418309515212,13.770256214282057,16.311055990548343,62.68892580973922,CFCH,1.7403618751060106,,,3.6220873212334963,,0.938516324068718,1.4319110642752142,,,10.055950798571837,8.118651795375184,76.07779835604371,4.167442114854132,5.373019427101561,41.24895282978614,0.36136316944481306,1.6840517494327614,5.605395022769694,1.9583792808811844,2.6333593707238863,13.241210558872625,4.777936702595831,9.629568163763269,21.19423044276903,8.875466297457512,8.36422636877274,58.291424681121384,13.52083543933545,7.682845192663302,76.34845303593445
2015,3428.0,821.0,641.0,7.270000139757385,7.119716586574421,4.730691174530066,4.665164938891044,,28.420497402624232,2.4262113638253804,33.83643019655105,54.59349044304843,CFCH,2.6048156793862294,,,5.079507295504616,8.06944990860788,3.5154176664392014,2.7772743221605767,10.28889680510987,,8.597997683361985,16.88270519649833,77.75678255039399,1.671019997173733,5.206702948647693,45.67974939704645,0.48436215440398306,2.494159702103622,10.921734995070297,1.4704440759954722,3.3450572747737977,17.213509426469244,4.607002313808952,7.631693978160338,23.944933725725427,9.07050266505765,14.88920909658406,67.11007962556147,13.677504978866603,18.176681624048257,78.2351004207772
